1960,1.054018849977467e-08
1961, 1.114249172928794e-08
1962, 1.159440721210103e-08
1963, 1.4067971422702741e-08
1964, 1.493695300780473e-08
1965, 1.508835811847575e-08
1966, 1.581970427671259e-08
1967, 1.723620014969031e-08
1968, 1.78952091240652e-08
1969, 1.9004117137098672e-08
1970, 1.731213242602994e-08
1971, 1.799923384940679e-08
1972, 1.8677603971387462e-08
1973, 1.927531911860569e-08
1974, 1.9470055789838622e-08
1975, 2.0232421960031378e-08
1976, 2.016607147936611e-08
1977, 1.999962227573957e-08
1978, 1.9796762324680072e-08
1979, 2.0375323016099038e-08
1980, 1.9910889698897853e-08
1981, 2.2145750630134628e-08
1982, 2.1026689215172412e-08
1983, 2.0381195398044828e-08
1984, 2.0924998368952533e-08
1985, 2.146458198483612e-08
1986, 2.1852684487352492e-08
1987, 2.2535447793562262e-08
1988, 2.1338332497781003e-08
1989, 2.311122417251811e-08
1990, 2.460966287896683e-08
1991, 2.620236497615938e-08
1992, 2.7755742085641292e-08
1993, 3.0078797357597464e-08
1994, 3.1548987168759734e-08
1995, 3.207070824779683e-08
1996, 3.383221296766285e-08
1997, 3.5537518832435514e-08
1998, 3.701710480998242e-08
1999, 3.947910747521226e-08
2000, 4.0981780508835586e-08
2001, 4.597479476485335e-08
2002, 4.860945525462869e-08
2003, 4.9686793853912354e-08
2004, 5.3019045407966455e-08
2005, 5.72922534810719e-08
2006, 6.244799065159765e-08
2007, 6.51599861052026e-08
2008, 6.561569065866024e-08
2009, 6.835327224864938e-08
2010, 7.779697191218866e-08
2011, 8.129389885068252e-08
2012, 8.103322102215316e-08
2013, 7.794628231749812e-08
2014, 7.719261166779948e-08
2015, 7.737957271761583e-08
2016, 7.747520060417758e-08
2017, 7.137841014544695e-08
2018, 6.828131375868906e-08
2019, 6.802647511960913e-08
