1960,3.224007443236587e-07
1961, 3.1660263175581346e-07
1962, 3.101106926806096e-07
1963, 3.091484432258896e-07
1964, 2.9199845081555907e-07
1965, 2.9864284150400114e-07
1966, 3.049980006965468e-07
1967, 2.932294072317225e-07
1968, 3.0326614007338187e-07
1969, 3.014123543770048e-07
1970, 2.941859155011376e-07
1971, 2.989234490412075e-07
1972, 3.1545375480033845e-07
1973, 3.058642943999855e-07
1974, 3.036227188398957e-07
1975, 2.9340173211624326e-07
1976, 2.930971122948124e-07
1977, 2.950053824081676e-07
1978, 3.077748138886298e-07
1979, 2.816353474242662e-07
1980, 2.8500555718632566e-07
1981, 3.112395867382085e-07
1982, 3.50990079920978e-07
1983, 3.814982798238426e-07
1984, 4.3354399232547234e-07
1985, 4.841615179884684e-07
1986, 5.723838195795647e-07
1987, 7.140424876134992e-07
1988, 7.691109707203785e-07
1989, 7.986045034158451e-07
1990, 8.230025108397449e-07
1991, 8.210952679681733e-07
1992, 7.966239650158968e-07
1993, 7.469366453603599e-07
1994, 6.635654098577756e-07
1995, 6.302057126309332e-07
1996, 6.124310597702529e-07
1997, 6.654771596004139e-07
1998, 6.68479515297804e-07
1999, 6.651161389267404e-07
2000, 6.566913189739612e-07
2001, 6.79260998432645e-07
2002, 7.354931800104428e-07
2003, 7.487769104435367e-07
2004, 7.192326977799115e-07
2005, 7.427508665257066e-07
2006, 7.731280058058992e-07
2007, 7.94203499156408e-07
2008, 7.603736581326562e-07
2009, 7.144103538589011e-07
2010, 6.815954277174439e-07
2011, 6.414080888004849e-07
2012, 6.617569608481842e-07
2013, 1.11019095681643e-06
2014, 2.705220651932904e-06
2015, 5.32692746446628e-06
2016, 8.77580784422857e-06
2017, 1.0152494544020861e-05
2018, 1.2076975963282161e-05
2019, 1.4859919247101063e-05
