1800,1.787862802249407e-08
1801, 1.430290241799525e-08
1802, 1.242556661266528e-08
1803, 1.0650485667998811e-08
1804, 2.2330936782261853e-09
1805, 2.952824556296767e-09
1806, 4.7626752383170665e-09
1807, 7.482551118392118e-09
1808, 7.482551118392118e-09
1809, 7.410273950014813e-09
1810, 7.62821160206682e-09
1811, 6.4079013999724625e-09
1812, 5.8256386540175444e-09
1813, 4.403746779933572e-09
1814, 2.3107453252433986e-09
1815, 2.3107453252433986e-09
1816, 2.1390684144608133e-09
1817, 2.263825904513794e-09
1818, 2.442860770811096e-09
1819, 1.726735960565812e-09
1820, 1.633571024482551e-09
1821, 1.520913617270025e-09
1822, 1.7704514203893092e-09
1823, 1.7207414699476382e-09
1824, 1.6462863612025964e-09
1825, 1.9737187122765523e-09
1826, 2.566209911236683e-09
1827, 2.689698463953505e-09
1828, 2.285810754961862e-09
1829, 5.6202611691575614e-09
1830, 5.670407484828897e-09
1831, 6.331114021929096e-09
1832, 6.250394114980043e-09
1833, 5.905337702965293e-09
1834, 5.7362358593263505e-09
1835, 5.8772567606319685e-09
1836, 3.118941533613346e-09
1837, 3.0832152703957102e-09
1838, 2.5358974285540273e-09
1839, 2.564838722359955e-09
1840, 2.619747799644959e-09
1841, 2.8604104957657185e-09
1842, 2.9131374931371366e-09
1843, 3.005507921903318e-09
1844, 3.1845393940902313e-09
1845, 3.4035595294515784e-09
1846, 3.5358554179814362e-09
1847, 3.8395661887997394e-09
1848, 3.951287360795927e-09
1849, 4.507042739021472e-09
1850, 4.538397467358988e-09
1851, 5.133055060367399e-09
1852, 4.9368987628132095e-09
1853, 5.025545059465589e-09
1854, 5.076014592780049e-09
1855, 5.2619763784329225e-09
1856, 5.197324665877951e-09
1857, 4.7292687861093845e-09
1858, 4.491939074670525e-09
1859, 4.635811036633543e-09
1860, 5.851031659176442e-09
1861, 6.6631611339573746e-09
1862, 7.1571551859709166e-09
1863, 7.125780410177641e-09
1864, 7.115389357080307e-09
1865, 6.822186149335608e-09
1866, 8.043406480544896e-09
1867, 7.0600166665205475e-09
1868, 6.442785257679671e-09
1869, 5.913396788110552e-09
1870, 5.952083429302693e-09
1871, 6.211501313302392e-09
1872, 6.386786274451393e-09
1873, 5.631428973933745e-09
1874, 5.3200780923491814e-09
1875, 5.43141658632911e-09
1876, 5.944240274605559e-09
1877, 6.67962111019652e-09
1878, 7.4006663654456275e-09
1879, 7.804929210867125e-09
1880, 7.810188813144643e-09
1881, 8.887054647743753e-09
1882, 8.831762115286375e-09
1883, 8.980202232627171e-09
1884, 8.967874062396471e-09
1885, 8.909577076110509e-09
1886, 9.256243898343138e-09
1887, 9.314481566998928e-09
1888, 8.775624354180019e-09
1889, 9.019675546133904e-09
1890, 9.048134305292673e-09
1891, 8.751631419556816e-09
1892, 9.291070135475366e-09
1893, 1.0388292385040841e-08
1894, 1.668921991081008e-08
1895, 1.7142941161856533e-08
1896, 1.70573452505453e-08
1897, 1.708305458996457e-08
1898, 1.688218764783755e-08
1899, 1.6206391086269282e-08
